"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
213960;-2,78;6,98;1,72;7,70288
213970;-2,70;7,21;1,57;7,85329
213980;-3,22;7,74;1,50;8,51501
213990;-4,64;8,65;1,89;9,99446
214000;-5,39;8,42;2,50;10,30168
214010;-5,75;7,74;3,09;10,12633
214020;-5,98;7,13;3,32;9,87623
214030;-6,35;6,98;2,87;9,85877
214040;-6,94;7,05;2,35;10,17216
214050;-7,31;7,13;2,20;10,44936
214060;-7,02;7,21;2,20;10,29629
214070;-6,20;7,66;2,50;10,16715
214080;-6,72;8,34;2,81;11,07762
214090;-6,87;8,65;2,81;11,39818
214100;-6,35;9,03;2,66;11,35395
214110;-6,06;10,16;2,59;12,11386
214120;-5,92;11,08;2,44;12,79171
214130;-6,07;11,91;2,53;13,60241
214140;-5,92;12,21;2,68;13,83278
214150;-5,85;12,29;2,83;13,89809
214160;-5,84;11,30;2,90;13,0478
214170;-5,69;9,48;2,43;11,32028
214180;-5,76;9,94;2,21;11,69738
214190;-5,77;11,08;2,67;12,7684
214200;-5,85;11,99;2,97;13,66195
214210;-6,07;12,29;3,28;14,09159
214220;-6,44;11,83;3,43;13,90078
214230;-6,66;11,08;3,13;13,29575
214240;-6,73;10,39;2,82;12,69874
214250;-6,73;9,79;2,52;12,13923
214260;-6,50;9,33;2,29;11,60092
214270;-6,21;8,88;2,13;11,0369
214280;-5,91;8,42;2,28;10,53307
214290;-5,53;8,12;2,42;10,11601
214300;-5,09;7,89;2,34;9,6723
214310;-4,64;7,51;2,18;9,09157
214320;-4,34;6,90;2,03;8,4
214330;-4,19;6,07;1,80;7,58686
214340;-4,03;5,23;1,56;6,78936
214350;-3,96;4,78;1,56;6,39693
214360;-3,51;4,63;1,56;6,01252
214370;-2,77;4,48;0,80;5,32064
214380;-2,40;5,08;0,28;5,62485
214390;-2,40;6,30;0,28;6,74297
214400;-2,48;7,21;0,59;7,64305
214410;-2,33;7,21;0,74;7,60899
214420;-2,03;6,75;0,66;7,08034
214430;-1,95;6,37;0,58;6,68911
214440;-1,95;6,14;0,43;6,46119
214450;-2,03;6,14;0,36;6,47947
214460;-2,03;6,22;0,73;6,58286
214470;-2,10;6,30;1,18;6,74093
214480;-2,40;6,52;1,48;7,1075
214490;-2,55;6,83;1,34;7,40892
214500;-2,70;6,83;1,11;7,42464
214510;-2,92;6,83;1,12;7,50891
214520;-2,92;6,68;1,12;7,37136
214530;-2,85;6,45;1,11;7,13498
214540;-2,92;6,52;1,11;7,23385
214550;-3,22;6,98;1,20;7,77788
214560;-3,67;7,66;1,13;8,56926
214570;-4,86;8,57;1,37;9,94961
214580;-6,58;9,33;2,21;11,62882
214590;-7,25;9,18;3,57;12,22643
214600;-7,25;8,72;4,31;12,13213
214610;-7,84;9,10;3,95;12,64603
214620;-8,44;9,63;3,73;13,33918
214630;-8,44;10,47;3,66;13,93768
214640;-7,85;11,45;3,59;14,34275
214650;-7,26;12,29;3,59;14,71653
214660;-6,82;12,90;3,66;15,0385
214670;-6,37;12,97;3,81;14,94413
214680;-5,92;11,61;3,72;13,54872
214690;-5,54;10,24;3,26;12,09009
214700;-5,47;10,85;3,04;12,52142
214710;-5,47;11,83;3,20;13,42277
214720;-5,47;12,36;3,20;13,89462
214730;-5,62;12,44;3,13;14,0049
214740;-5,92;11,99;3,20;13,74463
214750;-6,51;11,00;3,20;13,17567
214760;-6,88;10,32;2,97;12,75073
214770;-6,66;9,86;2,89;12,24304
214780;-6,43;9,41;2,74;11,71789
214790;-6,28;9,10;2,58;11,35591
214800;-6,13;8,57;2,73;10,88433
214810;-5,68;7,96;2,87;10,19434
214820;-5,08;7,21;2,71;9,22482
214830;-4,71;6,68;2,33;8,49383
214840;-4,26;6,07;1,87;7,64594
214850;-3,51;5,23;1,41;6,45806
214860;-3,29;4,63;1,18;5,79629
214870;-3,21;4,48;1,03;5,60294
214880;-2,84;4,63;1,40;5,60667
214890;-2,39;4,85;1,32;5,57161
214900;-2,17;5,54;1,03;6,03633
214910;-2,18;6,52;1,03;6,95416
214920;-2,40;7,21;1,19;7,6886
214930;-2,40;7,05;1,19;7,54617
214940;-2,25;6,68;1,04;7,12059
214950;-2,25;6,22;0,73;6,65517
214960;-2,32;5,99;0,36;6,43675
214970;-2,10;5,92;0,43;6,29264
214980;-2,03;5,92;0,80;6,30464
214990;-2,10;6,22;0,96;6,63467
215000;-2,25;6,60;0,88;7,0285
215010;-2,40;7,05;0,96;7,51416
215020;-2,63;7,28;1,12;7,82153
215030;-2,70;7,21;0,89;7,7471
215040;-2,78;7,51;0,97;8,0646
215050;-2,70;7,59;1,19;8,14027
215060;-2,40;7,28;1,49;7,81197
215070;-3,37;7,89;1,88;8,78163
215080;-5,31;8,95;2,42;10,68707
215090;-6,35;8,57;3,11;11,11085
215100;-7,02;7,66;3,33;10,91052
215110;-7,54;7,28;3,41;11,02043
215120;-8,14;7,66;3,56;11,72877
215130;-8,36;8,42;3,65;12,41325
215140;-8,07;9,25;3,27;12,70496
215150;-7,62;10,16;2,90;13,0328
215160;-7,26;11,08;2,76;13,52334
215170;-6,81;12,36;2,99;14,42899
215180;-6,22;13,20;3,21;14,9405
215190;-6,00;13,12;3,58;14,86698
215200;-5,62;11,23;3,34;12,99097
215210;-5,31;9,33;2,50;11,02486
215220;-5,39;10,39;2,44;11,95812
215230;-5,40;11,76;2,82;13,24014
215240;-5,48;12,59;2,90;14,03368
215250;-5,70;12,59;3,05;14,15416
215260;-6,22;11,99;3,28;13,89353
215270;-6,66;10,85;3,27;13,142
215280;-6,80;9,94;2,97;12,40352
215290;-6,80;9,41;2,59;11,8932
215300;-6,58;9,03;2,14;11,37049
215310;-6,20;8,65;1,98;10,825
215320;-5,83;8,27;2,12;10,33732
215330;-5,38;7,96;2,27;9,87653
215340;-4,79;7,74;2,19;9,35732
215350;-4,41;7,43;2,11;8,89739
215360;-3,97;7,13;2,10;8,42498
215370;-3,52;6,45;1,79;7,55963
215380;-3,51;5,39;1,41;6,58258
215390;-3,51;4,63;1,41;5,97546
215400;-3,21;4,32;1,55;5,60397
215410;-3,06;4,70;1,40;5,78439
215420;-2,69;5,39;1,18;6,13563
215430;-2,25;5,69;0,88;6,1801
215440;-2,33;6,30;0,66;6,74316
215450;-2,48;6,75;0,74;7,2284
215460;-2,33;6,98;0,96;7,41873
215470;-2,18;6,83;1,11;7,25082
215480;-2,33;6,83;1,11;7,29714
215490;-2,55;6,75;1,11;7,30222
215500;-2,77;6,45;0,96;7,0837
215510;-3,07;6,52;1,04;7,28396
215520;-3,15;6,60;1,27;7,41893
215530;-3,00;6,52;1,27;7,28874
215540;-2,85;6,68;1,12;7,34234
215550;-2,77;6,83;1,19;7,46361
215560;-3,00;7,05;1,19;7,75694
215570;-4,19;7,74;1,66;8,95403
215580;-5,23;7,74;2,57;9,68631
215590;-5,83;6,90;3,31;9,62033
215600;-6,12;6,30;3,39;9,41027
215610;-6,72;6,75;2,87;9,94669
215620;-7,39;7,51;2,66;10,8654
215630;-7,47;7,89;3,04;11,2771
215640;-7,10;8,72;3,26;11,70892
215650;-6,51;9,79;2,97;12,11881
215660;-6,06;11,00;2,89;12,88896
215670;-6,44;11,91;3,05;13,87893
215680;-6,52;12,82;3,06;14,70288
215690;-6,67;13,58;3,52;15,53061
215700;-6,67;12,82;3,81;14,94276
215710;-6,51;10,16;3,64;12,60603
215720;-6,13;9,48;2,89;11,65527
215730;-5,77;10,77;2,82;12,53736
215740;-5,32;11,76;3,04;13,25976
215750;-5,40;12,36;3,12;13,84852
215760;-5,77;12,21;3,20;13,88083
215770;-6,29;11,61;3,35;13,61932
215780;-6,51;10,54;3,20;12,79652
215790;-6,51;9,79;3,04;12,13737
215800;-6,50;9,25;2,74;11,63719
215810;-6,43;8,72;2,51;11,12125
215820;-6,20;8,19;2,35;10,54066
215830;-5,83;7,96;2,35;10,1445
215840;-5,16;7,66;2,27;9,50926
215850;-4,64;7,36;2,11;8,94772
215860;-4,26;6,98;2,03;8,42487
215870;-3,89;6,30;1,87;7,63154
215880;-3,66;5,54;1,49;6,80314
215890;-3,51;5,08;1,26;6,30388
215900;-3,21;4,78;1,48;5,94475
215910;-2,92;4,93;1,40;5,89715
215920;-2,55;5,31;1,18;6,00418
215930;-2,17;5,69;0,95;6,1642
215940;-2,25;6,37;0,81;6,80511
215950;-2,48;6,98;1,04;7,47713
215960;-2,48;7,28;1,34;7,80792
215970;-2,40;7,28;1,42;7,79801
215980;-2,48;7,05;1,56;7,6381
215990;-2,63;6,75;1,64;7,42628
216000;-2,70;6,45;1,64;7,17771
216010;-2,77;6,30;1,34;7,00685
216020;-2,85;6,52;1,11;7,20373
216030;-2,77;6,83;1,12;7,45202
216040;-2,55;6,83;1,04;7,36066
216050;-2,63;6,90;0,96;7,44698
216060;-2,78;7,13;1,19;7,74328
216070;-3,15;7,43;1,27;8,17174
216080;-4,27;8,04;1,74;9,26602
216090;-5,01;7,96;2,57;9,75267
216100;-5,45;7,13;3,24;9,5426
